job,experience,knowledge,salary,location,day of post,rating,number of reviews
Python Software Developer,2-4 Yrs,"Python Programming,Tensorflow,Object Detection,Segmentation,AI,Multi-GPU/Parallel Computing,Gpu Programming,Pytorch",3-4 Lacs PA,"Vijayawada, Visakhapatnam, Hyderabad",5 Days Ago,3.6,517
Big Data Engineer (Python)/Consultant Specialist,7-10 Yrs,"NoSQL,GCP,data governance,Application development,Data quality,Oracle,Apache,Financial services",Not disclosed,Hyderabad,Few Hours Ago,3.9,4902
Python Developer (Data Background),4-7 Yrs,"Design engineering,Technology consulting,Focus,Agile,Conceptualization,Management,Python,Design",Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",14 Days Ago,3.7,2559
Sr.Python Developer,5-7 Yrs,"Python,Javascript,SQL Database,Nodejs/Reactjs,Full Stack Development,Development,Node.js,Stack Development",Not disclosed,Bangalore Rural,1 Day Ago,3.9,17
Sr.Python Developer,5-7 Yrs,"Python,Javascript,SQL Database,Nodejs/Reactjs,Full Stack Development,React.js,Fullstack Development,Full Stack",Not disclosed,Bengaluru,1 Day Ago,3.9,17
Senior Python Developer,5-10 Yrs,"Automation,Backend,Manager Quality Assurance,Postgresql,Django,devops,MySQL,Cloud",Not disclosed,"Bhopal, Pune, Bengaluru",Just Now,4.5,87
Python (Backend) - Senior Developer,3-5 Yrs,"Unix,C++,Linux,Coding,Functional testing,MySQL,Unit testing,Information technology",Not disclosed,Bengaluru,Few Hours Ago,3.4,470
Python Software Developer,5-8 Yrs,"python,Fast Api,LLM,Machine Learning,Azure Cloud,Ci Cd Pipeline,Jenkins,R",Not disclosed,"Hyderabad, Pune",Few Hours Ago,3.7,7
Python Software Developer,3-5 Yrs,"Python,FastAPI frameworks,Django,Flask,Software development,Development,Software,Framework",Not disclosed,Mumbai (All Areas),2 Days Ago,3.4,907
Python Developer,0-1 Yrs,"Cloud Platforms,SQL Database,API,Nosql Databases,Python Development,Ubuntu,debug,Debugging",3-4 Lacs PA,Bengaluru,6 Days Ago,4.3,4
Lead Software Engineer - Python + Data Science,7-9 Yrs,"Aiml,Data Extraction,Python,SQL,Data Science,Extraction,Software,Data",Not disclosed,Hybrid - Pune,7 Days Ago,3.3,319
Senior Python Developer (Only Immediate Joiner),3-8 Yrs,"Pyspark,Rest Api Development,steamlit,python programming,Python,GIT,Pandas,Numpy",5-11 Lacs PA,Bengaluru(Indira Nagar),Few Hours Ago,no rating, - 
Python Software Developer- Pune (Pan India Infosys),2-7 Yrs,"Python,Django,Flask,Software development,Pan,Development,Software",Not disclosed,"Hybrid - Hyderabad, Chennai, Bengaluru",8 Days Ago,3.6,40809
Python Software Developer-AB-Pan India (4-9yrs),4-9 Yrs,"Python,Django,Flask,Software",Not disclosed,"Hyderabad, Pune, Bengaluru",15 Days Ago,3.6,40809
Full Stack Python Developer-Male Candidates only,2-7 Yrs,"Django,CSS,Fast Api,Javascript,HTML,AWS,Flask,Python",Not disclosed,Pune(Kalyani Nagar),Few Hours Ago,3.7,300
Python Software Developer,3-6 Yrs,"Python Development,Alteryx,Tableau,Uipath,Python,Software development,Software,Development",9.5-17 Lacs PA,Bengaluru,13 Days Ago,no rating, - 
Senior/ Lead Software Engineer - (Python + Data Science),4-9 Yrs,"Data Science,Gen AI,Python,Flask,Senior,Gen,Software,Data",Not disclosed,Hybrid - Pune,11 Days Ago,3.3,319
Junior Python Developer,2-4 Yrs,"Python,Data Engineering,NoSQL,data science,Confluence,Django,data processing,Agile",Not disclosed,Bengaluru,4 Days Ago,4.1,4900
Lead Python Developer,5-8 Yrs,"Python,postGres,Java,Load Balancer,Data Engineering,Micro services architecture,Software Testing,Webserver",Not disclosed,Bengaluru,5 Days Ago,4.1,4900
Sr.Data Engineer (ETL&Python)_F2F Interview_12thApril (Saturday)_Pune,5-10 Yrs,"Data Engineer,ETL,Python,Data,Data Engineering",15-22.5 Lacs PA,Pune,6 Days Ago,3.5,37511
